ID,Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50
37,CHEMBL4079674,437.52,CC(C)(Cc1nc2ccccc2[nH]1)NC(=O)c1ccc(/C=C2\Oc3c(C(N)=O)cccc3C2=O)cc1,IC50,=',0.8,nM,"1,009,691,001"
38,CHEMBL597926,323.37,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)[C@]4(C)CCCN4)CC3)c2)n[nH]c(=O)c1C,IC50,=',"8,044",nM,"1,009,452,794"
39,CHEMBL338567,639.67,NC(=O)c1cccc([N+](=O)[O-])c1,IC50,=',"8,318",nM,"1,007,998,108"
40,CHEMBL245537,623.65,Cc1sc(N)nc1-c1ccc2[nH]c3c4c(c5c(c3c2c1)C(=O)NC5=O)CCC4,IC50,=',"8,318",nM,"1,007,998,108"
41,CHEMBL593124,434.47,CN1CCC(C(=O)Nc2ccc(-n3cc4cc(F)cc(C(N)=O)c4n3)cc2)CC1,IC50,=',0.9,nM,"1,004,575,749"
42,CHEMBL371819,476.48,Cc1ccc2[nH]c(CCNC(=O)c3ccc(/C=C4\Oc5c(C(N)=O)cccc5C4=O)cc3)nc2c1,IC50,=',0.9,nM,"1,004,575,749"
43,CHEMBL204643,298.32,NC(=O)c1cccc2c1C(=O)N(C1CCN(Cc3ccccn3)CC1)C2,IC50,=',0.9,nM,"1,004,575,749"
44,CHEMBL3422683,461.47,CN(C)c1cccc(C(N)=O)c1,IC50,=',0.9,nM,"1,004,575,749"
45,CHEMBL3975140,398.46,CC(C)(C)OC(=O)N1CC[C@H](C(=O)Nc2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)cnc2Br)C1,IC50,=',0.9,nM,"1,004,575,749"
46,CHEMBL3937250,447.49,CCc1ccc2c3c(c(=O)[nH]c2c1)CCCN3,IC50,=',0.9,nM,"1,004,575,749"
47,CHEMBL4560087,415.47,Cc1cccc2c(=O)[nH]c(-c3ccc(Cl)cc3)nc12,IC50,=',0.9,nM,"1,004,575,749"
48,CHEMBL3901978,434.47,NC(=O)c1ccc(Oc2cccc(C(=O)N3CCC(c4ccc(F)cc4)CC3)c2)cc1,IC50,=',0.9,nM,"1,004,575,749"
49,CHEMBL4746309,613.7,CN1CCC(c2ccc(-c3nc4c(F)cc(F)cc4c(=O)[nH]3)cc2)CC1.O=C(O)C(F)(F)F,IC50,=',0.91,nM,"1,004,095,861"
50,CHEMBL3105405,367.21,O=C(CCc1nc2ccccc2c(=O)[nH]1)N1CCN(C(=O)c2ccc(F)cc2)CC1,IC50,=',1,nM,10
51,CHEMBL4091897,434.47,NC(=O)c1cccc2[nH]c(C(=O)N3CCC(N)C3)nc12,IC50,=',1,nM,10
52,CHEMBL497592,439.54,Cn1nc(-c2cccs2)c2c3c(c(=O)[nH]c21)CSC3,IC50,=',1,nM,10
53,CHEMBL2407973,244.3,CCNC(=O)c1ccc(N2CCN(Cc3ccc4c(c3)NC(=O)C(C)O4)CC2)c(Cl)c1,IC50,=',1,nM,10
54,CHEMBL590791,285.35,CNC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,IC50,=',1,nM,10
55,CHEMBL3765318,477.37,O=c1[nH]nc2c3c(cccc13)NC(c1ccc(CN3CCCC3)cc1)C2c1ccc(F)cc1,IC50,=',1,nM,10
56,CHEMBL599803,402.86,CNC1(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c(C)c4C)ccc3F)CC2)CC1,IC50,=',1,nM,10
57,CHEMBL4165908,271.32,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(C2CCCC2)CC1,IC50,=',1,nM,10
58,CHEMBL2237236,307.35,CNC(C)c1ccc2c3c(c(=O)[nH]c2c1)CCCN3,IC50,=',1,nM,10
59,CHEMBL3964037,507.39,O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2ccccc12,IC50,=',1,nM,10
60,CHEMBL596392,450.5,CNCc1ccc(-n2cc3cccc(C(N)=O)c3n2)cc1F,IC50,=',1,nM,10
61,CHEMBL193512,439.54,CCc1cnc2c(C(N)=O)cccc2c1,IC50,=',1,nM,10
62,CHEMBL1949848,551.41,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(CC4CC4)CC3)c(O)cc(O)c12,IC50,=',1,nM,10
63,CHEMBL3422684,360.42,NC(=O)c1cccc2c1O/C(=C\c1cccc(Oc3ccccc3)c1)C2=O,IC50,=',1,nM,10
64,CHEMBL4099732,429.5,CN1C[C@H]2C[C@@H]1CN2c1ccc2nc(O)c3ccccc3c2n1.CS(=O)(=O)O,IC50,=',1,nM,10
65,CHEMBL4475399,380.36,NC(=O)c1cccc2c1O/C(=C\c1cccc(OCCN3CCOCC3)c1)C2=O,IC50,=',1,nM,10
66,CHEMBL4111286,398.47,COc1cc(Cl)c(C#N)cc1C(=O)NCCN1CCC(C(=O)c2ccc(F)cc2)CC1,IC50,=',1,nM,10
67,CHEMBL3985156,622.67,Cn1nnc(-c2ccc(/C=C3\Oc4c(C(N)=O)cccc4C3=O)cc2)n1,IC50,=',"1,072",nM,"9,969,805,215"
68,CHEMBL108919,639.67,COC(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,IC50,=',"1,096",nM,"9,960,189,446"
